# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# Kanal 3 (V)	# Kanal 4 (V)	
-0.1	-0.0187502	0.09375	6.3125	0.15625
-0.0998	-0.0187502	0.09375	6.15625	0.15625
-0.0996	-0.2375	0.25	-5.5625	0.140625
-0.0994	-0.2375	0.25	-5.71875	0.15625
-0.0992	-0.26875	0.40625	-5.5625	0.15625
-0.099	-0.0500002	0.09375	6.15625	0.15625
-0.0988	-0.0500002	-0.0625	6.3125	0.140625
-0.0986	-0.0187502	-0.0625	6.3125	0.140625
-0.0984	-0.26875	0.25	-5.71875	0.15625
-0.0982	-0.3	0.40625	-5.5625	0.15625
-0.098	-0.26875	0.25	-5.71875	0.140625
-0.0978	-0.0187502	0.09375	6.15625	0.125
-0.0976	-0.0187502	-0.0625	6.3125	0.15625
-0.0974	-0.0500002	-0.0625	6.3125	0.15625
-0.0972	-0.0187502	0.09375	6.3125	0.140625
-0.097	-0.3	0.40625	-5.71875	0.15625
-0.0968	-0.3	0.40625	-5.5625	0.15625
-0.0966	-0.3	0.25	-5.5625	0.15625
-0.0964	-0.0187502	-0.0625	6.3125	0.140625
-0.0962	-0.0187502	-0.0625	6.46875	0.140625
-0.096	-0.0500002	-0.0625	6.3125	0.15625
-0.0958	-0.26875	0.25	-5.5625	0.140625
-0.0956	-0.3	0.25	-5.5625	0.140625
-0.0954	-0.26875	0.25	-5.5625	0.15625
-0.0952	-0.0187502	0.09375	6.15625	0.140625
-0.095	-0.0187502	-0.0625	6.3125	0.140625
-0.0948	-0.0187502	-0.0625	6.3125	0.15625
-0.0946	-0.0187502	-0.21875	5.6875	0.125
-0.0944	-0.26875	0.25	-5.71875	0.140625
-0.0942	-0.2375	0.25	-5.71875	0.140625
-0.094	-0.26875	0.25	-5.40625	0.125
-0.0938	0.0124998	-0.21875	6.3125	0.15625
-0.0936	0.0124998	0.09375	6.3125	0.140625
-0.0934	0.0124998	-0.0625	6.3125	0.15625
-0.0932	-0.2375	0.25	-5.5625	0.140625
-0.093	-0.26875	0.25	-5.71875	0.140625
-0.0928	-0.26875	0.25	-5.5625	0.140625
-0.0926	-0.0187502	-0.0625	6.3125	0.140625
-0.0924	-0.0187502	-0.0625	6.3125	0.140625
-0.0922	-0.0500002	-0.21875	6.3125	0.140625
-0.092	-0.3	0.25	-5.5625	0.140625
-0.0918	-0.3	0.25	-5.71875	0.140625
-0.0916	-0.3	0.25	-5.5625	0.15625
