# AI0: U_in (V)	# AI1: U_out (V)	
4.97948	8.41428
4.67286	8.41298
4.36073	8.41461
3.95644	8.41266
3.62516	8.41428
3.35229	8.41298
3.06319	8.41428
2.8312	8.41331
2.56643	8.41461
2.36754	8.41331
2.17578	8.41493
2.02717	8.41298
1.87857	8.41428
1.72932	8.41331
1.55767	8.41461
1.36949	8.41331
1.18876	8.41461
0.956767	8.41298
0.732562	8.41493
0.572276	8.41428
0.425943	8.41753
0.290966	8.41785
0.128085	8.42174
-0.0416102	-7.52865
-0.176587	-7.57505
-0.299559	-7.59387
-0.410851	-7.6049
-0.502674	-7.61204
-0.593848	-7.61658
-0.673342	-7.62047
-0.737911	-7.62177
-0.810915	-7.62242
-0.893329	-7.63183
-0.990993	-7.63507
-1.11396	-7.63442
-1.26841	-7.63507
-1.45076	-7.63475
-1.73434	-7.6354
-1.99099	-7.63475
-2.22136	-7.63507
-2.41929	-7.63507
-2.5906	-7.63507
-2.73175	-7.63475
-2.82487	-7.63507
-2.88716	-7.63442
-2.93583	-7.63507
-2.96796	-7.63475
-3.01825	-7.63507
-3.08671	-7.63475
-3.17042	-7.6354
-3.29372	-7.63475
-3.42545	-7.63507
-3.56432	-7.63442
-3.70871	-7.63507
-3.8505	-7.63442
-3.92156	-7.63507
-3.95985	-7.6341
-3.97412	-7.63507
-4.00203	-7.63475
-4.11591	-7.6354
-4.30508	-7.63442
-4.58996	-7.63507
-4.82357	-7.63442
-5.04421	-7.63507
-5.18924	-7.63507
-5.28302	-7.63507
-5.3226	-7.63442
-5.34596	-7.63507
-5.36511	-7.63475
-5.39366	-7.63507
-5.4287	-7.63475
-5.53415	-7.63475
-5.67984	-7.63442
-5.8213	-7.63507
-6.0056	-7.63475
-6.19184	-7.6354
-6.36835	-7.63475
-6.53545	-7.63507
-6.59321	-7.63475
-6.61106	-7.63475
-6.62209	-7.63507
-6.63636	-7.63442
-6.65129	-7.63442
-6.66589	-7.6341
-6.67725	-7.63442
-6.63928	-7.63442
-6.61884	-7.63442
-6.57666	-7.63475
-6.42027	-7.63475
-6.21488	-7.63442
-5.9313	-7.63507
-5.64025	-7.63442
-5.3557	-7.63475
-5.09969	-7.63507
-4.84239	-7.63507
-4.62662	-7.63442
-4.39593	-7.63475
-4.15972	-7.63442
-3.95757	-7.63507
-3.75997	-7.63475
-3.50527	-7.63475
-3.25251	-7.63507
-2.92837	-7.6354
-2.66199	-7.63475
-2.46893	-7.63507
-2.33363	-7.63475
-2.1821	-7.63475
-2.05751	-7.63475
-1.89268	-7.63475
-1.68437	-7.63442
-1.5189	-7.63475
-1.3982	-7.63442
-1.33265	-7.63475
-1.28301	-7.63442
-1.23142	-7.6354
-1.21325	-7.63442
-1.20125	-7.63475
-1.18372	-7.63475
-1.15712	-7.63442
-1.12078	-7.6354
-1.07503	-7.63475
-1.0004	-7.63507
-0.93194	-7.63345
-0.876132	-7.62988
-0.798586	-7.62242
-0.741804	-7.62177
-0.673667	-7.6195
-0.597742	-7.61658
-0.515328	-7.61171
-0.42967	-7.60652
-0.340117	-7.59743
-0.237911	-7.58543
-0.131162	-7.56434
0.0128998	8.42207
0.123867	8.42174
0.246839	8.4185
0.352938	8.41785
0.433406	8.41558
0.503165	8.41623
0.562542	8.41461
0.586228	8.41525
0.599856	8.41363
0.618026	8.41396
0.631653	8.41428
0.646579	8.41461
0.660531	8.41493
0.671562	8.41461
0.653717	8.41461
0.634898	8.41525
0.602452	8.41461
0.511277	8.41623
0.420103	8.41688
0.337364	8.4185
0.280583	8.41882
0.228669	8.4198
0.184217	8.42045
0.137819	8.42109
0.0985584	8.42142
0.0680588	8.42207
0.0505377	8.42174
0.0365857	8.42272
0.01582	8.42207
-0.0318763	-7.52086
-0.0785991	-7.54812
-0.132136	-7.56499
-0.203842	-7.57991
-0.263544	-7.589
-0.291123	-7.59257
-0.313511	-7.59549
-0.325192	-7.59614
-0.33525	-7.59743
-0.321947	-7.59581
-0.311889	-7.59516
-0.29891	-7.59354
-0.282363	-7.59159
-0.266464	-7.58932
-0.235315	-7.58446
-0.205789	-7.58024
-0.18697	-7.57699
-0.172369	-7.57407
-0.158742	-7.57115
-0.146088	-7.56921
-0.128567	-7.56466
-0.102285	-7.55623
-0.0646472	-7.54195
-0.0299295	-7.51826
0.0103041	8.42304
0.0482664	8.42239
0.0716279	8.42207
0.0872022	8.42174
0.0995318	8.42109
0.110888	8.42077
0.121271	8.42012
0.136845	8.42109
0.148526	8.42012
0.16702	8.42045
0.187137	8.41947
0.199142	8.4198
0.211472	8.4198
0.201414	8.42012
0.191031	8.4198
0.17935	8.42012
0.168318	8.4198
0.155989	8.42045
0.140414	8.42045
0.126787	8.42045
0.113484	8.42109
0.0972605	8.42077
0.0865532	8.42142
0.0618939	8.42207
0.0505377	8.42142
0.0391814	8.42174
0.0245805	8.42142
0.00705947	8.42239
-0.0137063	-7.49717
-0.0351209	-7.52216
-0.0506952	-7.53416
-0.0672429	-7.5426
-0.0831416	-7.54909
-0.100663	-7.55525
-0.121104	-7.56174
-0.138301	-7.56596
-0.148359	-7.56856
-0.160364	-7.57083
-0.170423	-7.5731
-0.157444	-7.57115
-0.145439	-7.56791
-0.133109	-7.56531
-0.122726	-7.56272
-0.110072	-7.5585
-0.0983914	-7.55558
-0.0880086	-7.55136
-0.0773013	-7.54747
-0.0643227	-7.54228
-0.047775	-7.53287
-0.0351209	-7.52313
-0.0214934	-7.51015
-0.00851482	-7.48484
0.00349036	8.42272
0.0151711	8.42304
0.0320432	8.42272
0.0482664	8.42239
0.0618939	8.42207
0.0729257	8.42142
0.0628673	8.42142
0.0518355	8.42174
0.0414527	8.42207
0.029772	8.42109
0.00965518	8.42174
-0.00202553	-7.44558
-0.0133818	-7.49588
-0.0198711	-7.50626
-0.0299295	-7.51794
-0.0406368	-7.52735
-0.0523175	-7.53514
-0.0633493	-7.5413
-0.0734077	-7.54617
-0.0857373	-7.55071
-0.102285	-7.55655
-0.113317	-7.55915
-0.130838	-7.56401
-0.179508	-7.57537
-0.23856	-7.58478
-0.271331	-7.58997
-0.288203	-7.59192
-0.310591	-7.59484
-0.345633	-7.59808
-0.386191	-7.60198
-0.437781	-7.60652
-0.480286	-7.61009
-0.521493	-7.61268
-0.563673	-7.61528
-0.578274	-7.61593
-0.595146	-7.61658
-0.612667	-7.61723
-0.633109	-7.6182
-0.657444	-7.61917
-0.697028	-7.6208
-0.760948	-7.62177
-0.806048	-7.62242
-0.856016	-7.62631
-0.894627	-7.63215
-0.947515	-7.63442
-1.03252	-7.63475
-1.137	-7.63507
-1.20871	-7.63475
-1.27814	-7.63475
-1.32811	-7.6354
-1.38295	-7.63442
-1.42415	-7.63507
-1.45627	-7.63442
-1.49554	-7.63507
-1.5601	-7.63442
-1.65485	-7.63507
-1.78626	-7.6341
-1.94914	-7.63507
-2.06302	-7.63442
-2.137	-7.63475
-2.20481	-7.63442
-2.24537	-7.63475
-2.26809	-7.63442
-2.28074	-7.63475
-2.30345	-7.63507
-2.32876	-7.63442
-2.39008	-7.6354
-2.4845	-7.63475
-2.56173	-7.6354
-2.64966	-7.63475
-2.75381	-7.63507
-2.87127	-7.63507
-2.95465	-7.63507
-3.00527	-7.63442
-3.04064	-7.63475
-3.06789	-7.6341
-3.09742	-7.63442
-3.1357	-7.63475
-3.16166	-7.63475
-3.18632	-7.63442
-3.1967	-7.63475
-3.20709	-7.63507
-3.19119	-7.63507
-3.17496	-7.63475
-3.09936	-7.63507
-2.9261	-7.63475
-2.77393	-7.63507
-2.64674	-7.63442
-2.51955	-7.6354
-2.42253	-7.63442
-2.32195	-7.6354
-2.18892	-7.63442
-2.11332	-7.63475
-1.89106	-7.63442
-1.71195	-7.63507
-1.576	-7.6341
-1.44232	-7.63507
-1.34498	-7.63442
-1.28106	-7.63507
-1.22039	-7.63442
-1.17237	-7.63507
-1.13278	-7.6341
-1.06465	-7.63507
-0.953355	-7.63442
-0.830059	-7.62209
-0.706762	-7.62015
-0.556535	-7.61496
-0.399494	-7.6036
-0.22331	-7.58316
-0.0594557	-7.53903
0.133925	8.42012
0.283828	8.41882
0.41556	8.41623
0.623542	8.41493
0.880517	8.41298
1.15112	8.41396
1.43697	8.41331
1.7371	8.41396
2.01777	8.41331
2.22834	8.41428
2.3776	8.41331
2.49148	8.41428
2.56222	8.41331
2.61089	8.41493
2.64463	8.41331
2.7264	8.41428
2.85326	8.41363
3.01809	8.41461
3.21374	8.41331
3.44152	8.41461
3.58428	8.41396
3.73321	8.41461
3.82276	8.41363
3.94801	8.41461
4.11673	8.41428
4.30167	8.41461
4.53237	8.41331
4.77701	8.41461
4.95839	8.41363
5.09337	8.41461
5.26598	8.41331
5.41134	8.41493
5.546	8.41331
