# AI0: U_in (V)	# AI1: U_out (V)	
-6.57212	-7.63475
-6.72916	-7.6354
-6.87225	-7.63475
-6.98387	-7.63507
-7.06758	-7.63442
-7.11593	-7.63507
-7.15454	-7.63475
-7.18633	-7.63475
-7.20515	-7.63442
-7.21716	-7.63475
-7.23436	-7.6354
-7.24831	-7.63475
-7.25934	-7.63507
-7.2694	-7.63475
-7.25642	-7.63507
-7.24571	-7.63507
-7.21035	-7.63442
-7.12566	-7.63507
-7.05395	-7.63442
-6.97089	-7.63442
-6.91216	-7.6341
-6.83461	-7.63475
-6.75577	-7.6341
-6.69087	-7.63442
-6.63928	-7.63377
-6.57958	-7.63442
-6.51015	-7.63442
-6.41735	-7.6341
-6.29502	-7.63475
-6.10229	-7.63475
-5.86446	-7.6341
-5.62403	-7.63475
-5.34629	-7.63442
-5.03772	-7.63475
-4.78821	-7.6341
-4.53026	-7.6341
-4.33298	-7.6341
-4.17237	-7.63475
-3.99326	-7.63442
-3.86153	-7.63442
-3.66069	-7.6341
-3.49489	-7.6341
-3.32097	-7.63377
-3.03123	-7.63442
-2.6516	-7.63377
-2.12467	-7.63442
-1.61169	-7.63377
-0.904361	-7.63248
0.0333411	8.42077
0.871757	8.41233
1.67383	8.42045
2.35813	8.44348
2.76566	8.46587
3.01614	8.48437
3.22315	8.49702
3.38376	8.51227
3.55151	8.522
3.72737	8.54147
3.89706	8.55445
4.03139	8.57911
4.39674	8.62681
4.39642	8.66931
4.39674	8.69462
4.39642	8.72707
4.39707	8.74167
4.39707	8.76276
4.39739	8.78839
4.39739	8.80526
4.39739	8.81532
3.89479	8.77282
3.28675	8.65406
2.43308	8.46198
0.889602	8.41396
-0.577301	-7.61625
-1.93356	-7.63572
-3.2285	-7.63507
-4.24473	-7.63507
-5.21585	-7.63507
-6.03772	-7.6354
-6.66362	-7.6354
-7.03773	-7.6354
-7.29406	-7.63507
-7.44623	-7.63572
-7.52118	-7.6354
-7.57505	-7.63572
-7.62242	-7.6354
-7.6818	-7.63507
-7.7243	-7.63507
-7.76843	-7.63572
-7.81872	-7.63507
-7.88037	-7.6354
-7.93813	-7.63475
-8.00659	-7.63475
-8.07083	-7.63507
-8.12924	-7.63475
-8.19608	-7.63507
-8.26941	-7.63507
-8.33268	-7.63475
-8.38978	-7.6354
-8.4417	-7.63475
-8.46441	-7.63475
-8.47869	-7.63507
-8.49264	-7.63507
-8.52054	-7.63507
-8.56694	-7.63442
-8.6062	-7.63475
-8.63281	-7.63507
-8.64839	-7.63475
-8.65974	-7.63507
-8.67207	-7.63507
-8.68375	-7.63475
-8.69414	-7.63442
-8.68408	-7.63442
-8.6698	-7.63475
-8.51665	-7.63475
-8.34501	-7.63475
-8.15876	-7.6341
-7.94267	-7.63442
-7.71846	-7.63507
-7.39464	-7.63442
-7.0546	-7.63475
-6.71391	-7.63442
-6.4008	-7.63507
-6.10262	-7.6341
-5.78853	-7.6341
-5.52474	-7.63442
-5.23435	-7.63475
-4.93519	-7.63442
-4.65128	-7.6341
-4.30475	-7.63442
-3.94784	-7.63475
-3.5335	-7.63442
-3.05361	-7.63442
-2.50722	-7.6341
-1.89657	-7.63442
-1.36283	-7.6341
-0.918637	-7.6328
-0.558482	-7.61431
-0.251539	-7.5864
0.0667609	8.42045
0.307838	8.4172
0.501868	8.41525
0.659557	8.41331
0.800375	8.41396
0.991809	8.41363
1.15437	8.41493
1.33834	8.41558
1.53464	8.4185
1.74067	8.42109
1.93827	8.42726
2.13198	8.43278
2.2715	8.43926
2.44022	8.44803
2.6203	8.45776
2.72607	8.4649
2.83477	8.47106
2.9691	8.48047
3.11121	8.49053
3.24229	8.50124
3.33412	8.50773
3.42529	8.51584
3.54048	8.52363
3.60505	8.53304
3.65793	8.53466
3.70206	8.5418
3.73191	8.54309
3.76695	8.54829
3.81984	8.55153
3.87403	8.56029
3.93243	8.56775
4.02101	8.58171
4.39642	8.63232
4.39771	8.67061
4.39642	8.69851
4.39707	8.72837
4.39674	8.74881
4.39707	8.76892
4.39739	8.78028
4.39707	8.79326
4.39707	8.80786
3.63425	8.754
2.99797	8.59598
2.3325	8.44478
1.65242	8.42045
0.966825	8.41396
0.213094	8.4198
-0.491318	-7.61139
-1.01598	-7.63572
-1.41766	-7.63572
-1.93032	-7.63507
-2.5322	-7.6354
-3.25835	-7.63572
-3.98678	-7.63572
-4.74278	-7.63507
-5.41215	-7.6354
-6.05005	-7.63507
-6.65161	-7.6354
-7.12436	-7.63572
-7.47511	-7.6354
-7.78498	-7.63507
-7.98809	-7.6354
-8.13573	-7.63507
-8.25059	-7.63507
-8.35117	-7.63475
-8.43813	-7.63475
-8.55007	-7.6354
-8.66785	-7.6354
-8.74637	-7.63507
-8.78888	-7.6354
-8.82457	-7.63507
-8.86773	-7.63507
-9.0491	-7.63507
-9.26001	-7.63507
-9.4615	-7.6354
-9.6166	-7.63507
-9.78759	-7.63507
-9.95437	-7.63507
-10.1059	-7.6354
-10.3003	-7.63507
-10.4674	-7.63507
-10.5679	-7.63507
-10.6348	-7.63507
-10.6523	-7.63507
-10.6523	-7.57407
-10.6523	8.43764
-10.6523	-7.6062
-10.6523	-7.6328
-10.3684	-7.63313
-9.41348	-7.63377
-8.29179	-7.63313
-7.13864	-7.63345
-6.07958	-7.63313
-5.18113	-7.63345
-4.54453	-7.63313
-4.18145	-7.63345
-3.78593	-7.63313
-3.47088	-7.63345
-3.1714	-7.63345
-2.92837	-7.63345
-2.70709	-7.63345
-2.5137	-7.63345
-2.33947	-7.6328
-2.17431	-7.63345
-1.90436	-7.63345
-1.66199	-7.63345
-1.36283	-7.63313
-0.939403	-7.63345
-0.485477	-7.60879
-0.0672429	-7.5413
0.387656	8.4159
0.838013	8.41266
1.28285	8.41461
1.64366	8.42012
2.12451	8.43115
2.35683	8.44478
2.5103	8.44965
2.59985	8.45906
2.64301	8.45646
2.68422	8.4649
2.71926	8.46068
2.7676	8.47009
2.83639	8.46944
2.91523	8.4795
3.04729	8.48307
3.23581	8.50254
3.42594	8.51195
3.63263	8.53433
3.90745	8.55477
4.39707	8.61026
4.39804	8.65017
4.39804	8.69105
4.39836	8.71247
4.39804	8.73875
4.39804	8.7527
4.39804	8.77639
4.39836	8.79877
4.39804	8.81046
4.06157	8.78872
3.3445	8.67418
2.44216	8.47755
1.37565	8.41623
0.629058	8.41428
0.102452	8.42109
-0.234342	-7.58446
-0.496185	-7.61041
-0.659066	-7.61917
-0.759001	-7.62177
-0.844335	-7.62404
-0.944919	-7.6341
-1.16199	-7.63475
-1.4884	-7.63377
-1.96698	-7.63475
-2.71358	-7.63442
-3.50851	-7.63507
-4.17918	-7.63475
-4.91734	-7.63442
-5.66588	-7.63442
-6.53124	-7.63442
-7.36998	-7.63442
-8.38719	-7.63507
-9.48292	-7.63475
-10.5722	-7.63507
-10.6523	-7.63442
-10.6523	8.43634
-10.6523	-7.61982
-10.6523	-7.63313
-10.3817	-7.63345
-9.91641	-7.63377
-9.37033	-7.63313
-8.84047	-7.63377
-8.22982	-7.6328
-7.58835	-7.6341
-6.84889	-7.63345
-6.03837	-7.63345
-5.55946	-7.63313
-5.25024	-7.63345
-5.05037	-7.63345
-4.95238	-7.63377
-4.87289	-7.63313
-4.73077	-7.63377
-4.60942	-7.63313
-4.52733	-7.63345
-4.41604	-7.63345
-4.23467	-7.6341
-4.015	-7.63313
-3.82779	-7.63377
-3.73564	-7.63377
-3.67107	-7.63345
-3.60683	-7.63345
-3.5335	-7.63377
-3.37938	-7.63313
-2.90079	-7.63377
-2.62337	-7.63345
-2.39755	-7.63377
-2.04128	-7.63345
-1.81124	-7.63377
-1.64025	-7.63377
-1.46763	-7.63377
-1.29242	-7.63345
-1.07892	-7.63377
-0.803128	-7.62112
-0.402739	-7.60263
0.0469686	8.42077
0.358454	8.4159
0.683568	8.41331
0.911666	8.41331
1.04178	8.41428
1.12971	8.41396
1.19784	8.41461
1.2874	8.41558
1.45579	8.41655
1.79032	8.42369
2.08947	8.42953
2.23418	8.44056
2.35099	8.43959
2.43243	8.45095
2.47429	8.44608
2.48921	8.45387
2.50057	8.44738
2.51679	8.45549
2.54859	8.44997
2.7238	8.46944
2.76209	8.46328
2.77409	8.47139
2.78675	8.47398
2.80492	8.4662
3.21569	8.50383
3.51484	8.51714
3.82276	8.5525
4.08558	8.57392
4.39771	8.63751
4.39771	8.67256
4.39707	8.705
4.39739	8.72804
4.39739	8.7527
4.39739	8.76665
4.39707	8.78644
4.39739	8.80267
4.39739	8.81305
3.83087	8.76892
2.84969	8.6028
1.78383	8.42434
1.18843	8.4159
1.02361	8.41493
0.993107	8.41525
0.977857	8.41461
0.696222	8.41493
0.517442	8.41493
0.292913	8.41882
-0.024738	-7.51502
-0.433239	-7.60652
-0.911175	-7.63377
-1.53285	-7.63475
-2.48353	-7.6354
-3.43194	-7.63475
-4.24797	-7.63605
-5.15226	-7.63507
-6.03091	-7.63605
-6.90664	-7.6354
-7.81029	-7.63605
-8.71036	-7.63507
-9.5079	-7.63572
-10.101	-7.63475
-10.492	-7.6354
-10.6523	-7.63475
-10.6523	-7.60782
-10.6523	-7.56596
-10.6523	8.16249
-10.6523	8.25854
-10.6523	8.43245
-10.6523	-7.63377
-9.8155	-7.63345
-8.96636	-7.63377
-8.14935	-7.6328
