# AI0: U_in (V)	# AI1: U_out (V)	
10.1466	8.41882
10.1635	8.41947
10.1771	8.4198
10.6116	8.4198
10.6116	8.43278
10.6116	8.44413
10.1732	8.4185
10.1632	8.42045
10.1525	8.41882
10.1625	8.42012
10.1525	8.41882
10.1405	8.41915
10.1271	8.41947
10.0911	8.4185
10.0438	8.42045
9.97432	8.41882
9.9302	8.42012
9.88769	8.41882
9.84681	8.4198
9.80495	8.41882
9.76309	8.4198
9.72156	8.41947
9.69885	8.42012
9.68717	8.42012
9.67387	8.41882
9.65602	8.42012
9.61579	8.41915
9.54765	8.42045
9.43376	8.41915
9.33155	8.42045
9.20825	8.41915
9.06094	8.42045
8.91331	8.4198
8.78904	8.42045
8.70338	8.41947
8.64076	8.42077
8.60766	8.41947
8.58527	8.42045
8.57132	8.41947
8.54926	8.41947
8.53206	8.42077
8.50286	8.41947
8.46944	8.42077
8.42953	8.42012
8.35782	8.42045
8.278	8.41947
8.21116	8.42142
8.14173	8.42012
8.06548	8.42077
7.97073	8.42012
7.86139	8.42077
7.72317	8.42012
7.58235	8.42142
7.45873	8.42045
7.3244	8.42142
7.17936	8.42077
7.06839	8.42174
6.95288	8.42077
6.8669	8.42207
6.81985	8.42109
6.77897	8.42239
6.75171	8.42077
6.73679	8.42207
6.7264	8.42109
6.70986	8.42239
6.69753	8.42077
6.68585	8.42239
6.668	8.42109
6.64139	8.42207
6.60278	8.42077
6.54957	8.42207
6.49701	8.42109
6.46034	8.42239
6.44412	8.42142
6.45515	8.42239
6.47397	8.42304
6.49279	8.42239
6.50382	8.42142
6.58429	8.42239
6.73808	8.42077
6.91524	8.42174
7.10311	8.42077
7.29682	8.42142
7.49669	8.42045
7.71473	8.42142
7.91298	8.42045
8.05704	8.42077
8.18715	8.4198
8.28774	8.42077
8.36756	8.41947
8.4052	8.42077
8.42531	8.4198
8.43634	8.4198
8.45549	8.42045
8.47625	8.42012
8.52265	8.42045
8.57943	8.42012
8.63492	8.42045
8.69267	8.41947
8.74491	8.42012
8.80267	8.42045
8.85848	8.42077
8.90942	8.41947
8.96717	8.4198
9.01617	8.4198
9.06614	8.42045
9.10637	8.41947
9.15407	8.42012
9.20306	8.41915
9.27088	8.4198
9.3481	8.41947
9.41656	8.42012
9.47497	8.41947
9.54148	8.42012
9.60313	8.41947
9.68587	8.4198
9.78938	8.41947
9.89905	8.4198
10.0152	8.41915
10.1505	8.41947
10.2994	8.41915
10.4967	8.41947
10.6116	8.41882
10.6116	8.42921
10.6116	8.44218
10.6116	8.45614
10.6116	8.4662
10.6116	8.47982
10.6116	8.49378
10.6116	8.50643
10.6116	8.51941
10.6116	8.53044
10.6116	8.54893
10.6116	8.56224
10.6116	8.57392
10.6116	8.5976
10.6116	8.61091
10.6116	8.63135
10.6116	8.64595
10.6116	8.66834
10.6116	8.73453
10.6116	8.79975
10.6116	8.84907
10.6116	8.89027
10.6116	8.9052
10.6116	8.92207
10.6116	8.90682
10.6116	8.92077
10.6116	8.9065
10.6116	8.9211
10.6116	8.89839
10.6116	8.90877
10.6116	8.92629
10.6116	8.90488
10.6116	8.92856
10.6116	8.89904
10.6116	8.90909
10.6116	8.89871
10.6116	8.90909
10.6116	8.92564
10.6116	8.89936
10.6116	8.90942
10.6116	8.89579
10.6116	8.90747
10.6116	8.92467
10.6116	8.9065
10.6116	8.92013
10.6116	8.89774
10.6116	8.90942
10.6116	8.89839
10.6116	8.90942
