#U_diff	U_CM	U_out
1.000000	0.000000	6.449230
1.100000	0.000000	6.453196
1.200000	0.000000	6.457092
1.300000	0.000000	6.461019
1.400000	0.000000	6.464872
1.500000	0.000000	6.468789
1.600000	0.000000	6.472764
1.700000	0.000000	6.476698
1.800000	0.000000	6.480558
1.900000	0.000000	6.484572
2.000000	0.000000	6.488424
2.100000	0.000000	6.492303
2.200000	0.000000	6.496239
2.300000	0.000000	6.500125
2.400000	0.000000	6.504131
2.500000	0.000000	6.507977
2.700000	0.000000	6.515812
2.900000	0.000000	6.523642
3.000000	0.000000	6.527579
3.100000	0.000000	6.531486
3.200000	0.000000	6.535324
3.300000	0.000000	6.539238
3.400000	0.000000	6.543209
3.500000	0.000000	6.547065
3.600000	0.000000	6.550963
3.700000	0.000000	6.554846
3.800000	0.000000	6.558693
3.900000	0.000000	6.562661
4.000000	0.000000	6.566508
4.100000	0.000000	6.570451
4.200000	0.000000	6.574333
4.300000	0.000000	6.578285
4.400000	0.000000	6.582224
4.500000	0.000000	6.586071
4.600000	0.000000	6.589967
4.700000	0.000000	6.593922
4.800000	0.000000	6.597766
4.700000	0.000000	6.593871
4.600000	0.000000	6.589982
4.400000	0.000000	6.582209
4.000000	0.000000	6.566615
3.800000	0.000000	6.558742
3.600000	0.000000	6.551039
3.500000	0.000000	6.547052
3.300000	0.000000	6.539314
3.200000	0.000000	6.535365
3.100000	0.000000	6.531492
3.000000	0.000000	6.527584
2.900000	0.000000	6.523612
2.800000	0.000000	6.519702
2.700000	0.000000	6.515841
2.600000	0.000000	6.511869
2.500000	0.000000	6.508037
2.400000	0.000000	6.504144
2.300000	0.000000	6.500193
2.200000	0.000000	6.496284
2.100000	0.000000	6.492377
2.000000	0.000000	6.488507
1.800000	0.000000	6.480615
1.500000	0.000000	6.468853
1.400000	0.000000	6.465014
1.200000	0.000000	6.457217
1.100000	0.000000	6.453286
1.000000	0.000000	6.449401
0.500000	0.000000	6.429839
0.400000	0.000000	6.425983
0.300000	0.000000	6.422036
0.200000	0.000000	6.418108
0.100000	0.000000	6.414196
-0.000000	0.000000	6.410310
-0.100000	0.000000	6.406413
-0.200000	0.000000	6.402471
-0.400000	0.000000	6.394698
-0.500000	0.000000	6.390742
-0.700000	0.000000	6.382910
-1.000000	0.000000	6.371223
-1.200000	0.000000	6.363377
-1.400000	0.000000	6.355591
-1.500000	0.000000	6.351670
-1.700000	0.000000	6.343851
-1.800000	0.000000	6.340000
-2.000000	0.000000	6.332114
-2.200000	0.000000	6.324342
-2.400000	0.000000	6.316541
-2.700000	0.000000	6.304844
-3.000000	0.000000	6.293132
-3.200000	0.000000	6.285345
-3.300000	0.000000	6.281473
-3.800000	0.000000	6.262002
-4.200000	0.000000	6.246495
-4.900000	0.000000	6.219332
-5.000000	0.000000	6.215486
