U_diff	U_CM	U_out
0.000000	-6.700000	6.415033
0.000000	-7.000000	6.415294
0.000000	-7.600000	6.415747
0.000000	-8.300000	6.416248
0.000000	-9.000000	6.416742
0.000000	-9.900000	6.417479
0.000000	-10.000000	6.417561
0.000000	-9.900000	6.417555
0.000000	-9.300000	6.417134
0.000000	-9.200000	6.417027
0.000000	-9.000000	6.416835
0.000000	-8.900000	6.416856
0.000000	-8.500000	6.416517
0.000000	-8.300000	6.416384
0.000000	-7.700000	6.415938
0.000000	-7.300000	6.415589
0.000000	-7.000000	6.415408
0.000000	-6.900000	6.415261
0.000000	-6.800000	6.415214
0.000000	-7.100000	6.415331
0.000000	-7.000000	6.415206
0.000000	-5.600000	6.414176
0.000000	-4.600000	6.413438
0.000000	-4.300000	6.413231
0.000000	-3.100000	6.412320
0.000000	-3.800000	6.412838
0.000000	-5.700000	6.414268
0.000000	-8.000000	6.415979
0.000000	-5.000000	6.413744
0.000000	-4.200000	6.413120
0.000000	-1.500000	6.411078
0.000000	1.000000	6.409199
0.000000	2.700000	6.407947
0.000000	-1.400000	6.410982
0.000000	-3.600000	6.412620
0.000000	-5.400000	6.413954
0.000000	-7.100000	6.415216
0.000000	-8.100000	6.415947
0.000000	-9.800000	6.417174
0.000000	-10.000000	6.417307
0.000000	-9.900000	6.417282
0.000000	-9.800000	6.417184
0.000000	-9.500000	6.416983
0.000000	-9.300000	6.416841
0.000000	-9.000000	6.416570
0.000000	-8.500000	6.416184
0.000000	-7.500000	6.415437
0.000000	-7.000000	6.415074
0.000000	-6.800000	6.414900
0.000000	-6.300000	6.414547
0.000000	-6.000000	6.414393
0.000000	-5.600000	6.414101
0.000000	-5.400000	6.413871
0.000000	-6.000000	6.414372
0.000000	-6.500000	6.414706
0.000000	-7.000000	6.415120
0.000000	-7.400000	6.415416
0.000000	-7.600000	6.415515
0.000000	-7.700000	6.415624
0.000000	-7.900000	6.415789
0.000000	-8.000000	6.415821
0.000000	-7.900000	6.415743
0.000000	-7.500000	6.415486
0.000000	-7.400000	6.415374
0.000000	-7.300000	6.415265
0.000000	-7.100000	6.415163
0.000000	-6.900000	6.414934
0.000000	-6.700000	6.414791
0.000000	-6.900000	6.414950
0.000000	-7.400000	6.415373
0.000000	-8.000000	6.415850
0.000000	-8.500000	6.416159
0.000000	-9.300000	6.416739
0.000000	-9.600000	6.416986
0.000000	-10.000000	6.417273
0.000000	-9.900000	6.417241
0.000000	-9.200000	6.416743
0.000000	-9.000000	6.416565
0.000000	-8.800000	6.416484
0.000000	-8.600000	6.416298
0.000000	-8.000000	6.415880
0.000000	-7.500000	6.415458
0.000000	-7.100000	6.415149
0.000000	-6.800000	6.414994
0.000000	-6.300000	6.414621
0.000000	-5.700000	6.414205
0.000000	-5.400000	6.413945
0.000000	-5.000000	6.413698
0.000000	-4.600000	6.413353
0.000000	-4.200000	6.413084
0.000000	-3.600000	6.412610
0.000000	-2.400000	6.411759
0.000000	-1.800000	6.411304
0.000000	-1.500000	6.411114
0.000000	-1.100000	6.410831
0.000000	-0.700000	6.410518
0.000000	-0.400000	6.410252
0.000000	-0.200000	6.410149
0.000000	0.200000	6.409872
0.000000	0.600000	6.409583
0.000000	0.800000	6.409452
0.000000	1.400000	6.408999
0.000000	1.900000	6.408670
0.000000	2.300000	6.408336
0.000000	2.700000	6.408002
0.000000	2.900000	6.407880
0.000000	3.100000	6.407758
0.000000	3.300000	6.407518
0.000000	3.600000	6.407374
0.000000	4.200000	6.406918
0.000000	5.000000	6.406275
0.000000	5.200000	6.406075
0.000000	5.600000	6.405871
0.000000	6.100000	6.405444
0.000000	6.400000	6.405209
0.000000	6.900000	6.404861
0.000000	7.500000	6.404439
0.000000	9.200000	6.403078
0.000000	10.000000	6.402521
0.000000	9.900000	6.402484
0.000000	9.400000	6.402845
0.000000	5.500000	6.405799
0.000000	-0.700000	6.410373
0.000000	-6.300000	6.414581
0.000000	-10.000000	6.417297
0.000000	-7.400000	6.415443
0.000000	-4.300000	6.413060
0.000000	10.000000	6.402388
0.000000	-10.000000	6.417301
0.000000	-2.600000	6.411757
0.000000	4.600000	6.406389
0.000000	5.600000	6.405657
0.000000	-6.100000	6.414380
0.000000	6.700000	6.404890
0.000000	-9.800000	6.417139
0.000000	10.000000	6.402402
0.000000	3.300000	6.407413
0.000000	9.200000	6.402986
0.000000	6.000000	6.405369
0.000000	8.800000	6.403194
0.000000	7.700000	6.404099
0.000000	3.100000	6.407480
0.000000	5.500000	6.405697
0.000000	10.000000	6.402319
0.000000	-7.000000	6.414995
0.000000	-7.100000	6.415035
0.000000	6.800000	6.404647
0.000000	10.000000	6.402310
0.000000	8.800000	6.403157
0.000000	7.400000	6.404214
0.000000	4.400000	6.406438
0.000000	2.300000	6.407981
0.000000	-0.000000	6.409651
0.000000	-2.000000	6.411204
0.000000	-3.200000	6.412074
0.000000	-4.000000	6.412692
0.000000	-4.800000	6.413274
0.000000	-5.400000	6.413676
0.000000	-5.800000	6.414010
0.000000	-6.000000	6.414162
0.000000	-4.500000	6.413063
0.000000	-2.300000	6.411446
0.000000	-0.000000	6.409674
0.000000	3.000000	6.407512
0.000000	4.500000	6.406373
0.000000	6.000000	6.405257
0.000000	6.200000	6.405192
0.000000	6.100000	6.405183
0.000000	6.000000	6.405323
0.000000	3.600000	6.407102
0.000000	3.500000	6.407189
0.000000	3.200000	6.407433
0.000000	3.000000	6.407580
0.000000	2.400000	6.408037
0.000000	2.300000	6.408107
0.000000	1.900000	6.408436
0.000000	1.400000	6.408836
0.000000	1.100000	6.408957
0.000000	0.400000	6.409570
0.000000	0.200000	6.409719
0.000000	-0.200000	6.409977
0.000000	-0.100000	6.409914
0.000000	0.800000	6.409301
0.000000	1.000000	6.409119
0.000000	1.100000	6.409056
0.000000	1.500000	6.408782
0.000000	1.800000	6.408506
0.000000	2.400000	6.408085
0.000000	2.700000	6.407821
0.000000	3.000000	6.407602
0.000000	4.900000	6.406221
0.000000	5.200000	6.405990
0.000000	5.500000	6.405749
0.000000	5.700000	6.405599
0.000000	4.600000	6.406403
0.000000	2.900000	6.407692
0.000000	2.700000	6.407829
0.000000	2.600000	6.407956
0.000000	2.400000	6.408145
0.000000	2.100000	6.408288
0.000000	1.800000	6.408574
0.000000	1.700000	6.408664
0.000000	1.200000	6.409024
0.000000	1.100000	6.409137
0.000000	1.000000	6.409188
0.000000	1.800000	6.408584
