# Zeit (s)	# Kanal 2 (V)	# D0-D7	
-0.538	0.861719	0
-0.536	0.913672	0
-0.534	0.967969	0
-0.532	1.02187	0
-0.53	1.07539	0
-0.528	1.12148	0
-0.526	1.15937	0
-0.524	1.18437	0
-0.522	1.19375	0
-0.52	1.18516	0
-0.518	1.1582	0
-0.516	1.11445	0
-0.514	1.05664	0
-0.512	0.9875	0
-0.51	0.911719	0
-0.508	0.832813	0
-0.506	0.755078	0
-0.504	0.685938	0
-0.502	0.629297	0
-0.5	0.586328	0
-0.498	0.559766	0
-0.496	0.55	0
-0.494	0.557422	0
-0.492	0.578906	0
-0.49	0.611328	0
-0.488	0.651563	0
-0.486	0.694922	0
-0.484	0.739844	0
-0.482	0.782422	0
-0.48	0.819141	0
-0.478	0.847656	0
-0.476	0.864844	0
-0.474	0.872266	0
-0.472	0.869531	0
-0.47	0.858203	0
-0.468	0.837109	0
-0.466	0.808984	0
-0.464	0.776953	0
-0.462	0.74375	0
-0.46	0.7125	0
-0.458	0.685156	0
-0.456	0.664063	0
-0.454	0.648438	0
-0.452	0.640234	0
-0.45	0.640234	0
-0.448	0.647266	0
-0.446	0.661328	0
-0.444	0.680859	0
-0.442	0.703516	0
-0.44	0.729297	0
-0.438	0.754297	0
-0.436	0.777734	0
-0.434	0.798047	0
-0.432	0.813281	0
-0.43	0.822656	0
-0.428	0.826563	0
-0.426	0.825391	0
-0.424	0.819531	0
-0.422	0.810938	0
-0.42	0.799219	0
-0.418	0.786719	0
-0.416	0.774609	0
-0.414	0.764063	0
-0.412	0.755469	0
-0.41	0.75	0
-0.408	0.747656	0
-0.406	0.748828	0
-0.404	0.752734	0
-0.402	0.760156	0
-0.4	0.769922	0
-0.398	0.78125	0
-0.396	0.794141	0
-0.394	0.807422	0
-0.392	0.819922	0
-0.39	0.831641	0
-0.388	0.842969	0
-0.386	0.852344	0
-0.384	0.859375	0
-0.382	0.865625	0
-0.38	0.869531	0
-0.378	0.873047	0
-0.376	0.875391	0
-0.374	0.875781	0
-0.372	0.875391	0
-0.37	0.873438	0
-0.368	0.870703	0
-0.366	0.867969	0
-0.364	0.865234	0
-0.362	0.862891	0
-0.36	0.861719	0
-0.358	0.861719	0
-0.356	0.863672	0
-0.354	0.867578	0
-0.352	0.872656	0
-0.35	0.880078	0
-0.348	0.888281	0
-0.346	0.896484	0
-0.344	0.903125	0
-0.342	0.908203	0
-0.34	0.910938	0
-0.338	0.910938	0
-0.336	0.908203	0
-0.334	0.902734	0
-0.332	0.894531	0
-0.33	0.883984	0
-0.328	0.873047	0
-0.326	0.862109	0
-0.324	0.851172	0
-0.322	0.838672	0
-0.32	0.827734	0
-0.318	0.818359	0
-0.316	0.811328	0
-0.314	0.80625	0
-0.312	0.803906	0
-0.31	0.803516	0
-0.308	0.804688	0
-0.306	0.806641	0
-0.304	0.808203	0
-0.302	0.808203	0
-0.3	0.807031	0
-0.298	0.804297	0
-0.296	0.8	0
-0.294	0.794141	0
-0.292	0.7875	0
-0.29	0.779688	0
-0.288	0.771094	0
-0.286	0.761719	0
-0.284	0.752344	0
-0.282	0.742578	0
-0.28	0.733594	0
-0.278	0.725391	0
-0.276	0.718359	0
-0.274	0.712109	0
-0.272	0.707422	0
-0.27	0.705078	0
-0.268	0.704688	0
-0.266	0.705469	0
-0.264	0.707813	0
-0.262	0.711719	0
-0.26	0.716797	0
-0.258	0.721484	0
-0.256	0.726563	0
-0.254	0.73125	0
-0.252	0.734375	0
-0.25	0.737109	0
-0.248	0.737891	0
-0.246	0.7375	0
-0.244	0.735938	0
-0.242	0.733203	0
-0.24	0.730078	0
