Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
125.000000	-31.860929	0.025524	-76.900000
119.107995	-30.864839	0.028626	-78.700000
113.493715	-31.183764	0.027594	-74.600000
108.144071	-30.969286	0.028284	-75.700000
103.046587	-30.160713	0.031043	-73.500000
98.189379	-30.551899	0.029676	-80.200000
93.561120	-30.258544	0.030695	-78.400000
89.151019	-29.783006	0.032423	-80.100000
84.948793	-28.936604	0.035741	-77.800000
80.944643	-28.989494	0.035524	-81.300000
77.129233	-28.658537	0.036904	-80.400000
73.493666	-28.184610	0.038974	-80.000000
70.029465	-27.755034	0.040949	-80.000000
66.728554	-27.377130	0.042770	-79.000000
63.583234	-27.034308	0.044492	-80.400000
60.586172	-26.574785	0.046909	-79.400000
57.730379	-26.139329	0.049321	-78.300000
55.009198	-25.782305	0.051391	-78.600000
52.416282	-25.439378	0.053460	-78.800000
49.945586	-25.155349	0.055237	-78.400000
47.591348	-24.636585	0.058637	-76.300000
45.348081	-23.276935	0.068573	-76.300000
43.210552	-23.073422	0.070199	-76.600000
41.173777	-22.824371	0.072241	-76.200000
39.233008	-22.466876	0.075276	-76.000000
37.383720	-22.466876	0.075276	-74.500000
35.621599	-22.346720	0.076325	-74.000000
33.942538	-21.787323	0.081402	-77.300000
32.342621	-21.681968	0.082395	-72.500000
30.818118	-20.574647	0.093598	-72.900000
29.365474	-20.574647	0.093598	-71.800000
27.981301	-20.024001	0.099724	-72.300000
26.662374	-19.675388	0.103808	-72.000000
25.405615	-19.692750	0.103601	-74.500000
24.208095	-19.021805	0.111921	-70.900000
23.067021	-19.021805	0.111921	-70.200000
21.979733	-18.123375	0.124117	-70.500000
20.943695	-18.263536	0.122130	-69.500000
19.956492	-17.981639	0.126159	-68.300000
19.015822	-17.569803	0.132285	-68.400000
18.119492	-17.242666	0.137362	-68.200000
17.265410	-16.863697	0.143488	-66.700000
16.451587	-16.561663	0.148565	-66.400000
15.676125	-16.089723	0.156861	-66.600000
14.937214	-15.876354	0.160762	-64.400000
14.233133	-15.599332	0.165971	-64.500000
13.562239	-15.288988	0.172009	-63.100000
12.922969	-14.888196	0.180132	-61.900000
12.313832	-14.294932	0.192865	-60.000000
11.733406	-13.776791	0.204720	-61.100000
11.180340	-13.407511	0.213611	-60.600000
10.653343	-13.003347	0.223786	-59.000000
10.151186	-13.103432	0.221222	-57.600000
9.672700	-12.435750	0.238898	-56.700000
9.216767	-12.763177	0.230060	-57.200000
8.782325	-12.120219	0.247736	-54.600000
8.368361	-11.961419	0.252307	-54.500000
7.973910	-11.616737	0.262520	-52.800000
7.598051	-11.098006	0.278676	-51.200000
7.239909	-11.007160	0.281606	-52.700000
6.898648	-10.481171	0.299186	-50.300000
6.573473	-10.652986	0.293326	-49.000000
6.263626	-10.532859	0.297411	-48.200000
5.968383	-10.116127	0.312028	-45.800000
5.687057	-9.955466	0.317853	-44.800000
5.418992	-9.591104	0.331470	-44.000000
5.163562	-9.364973	0.340213	-44.000000
4.920172	-9.291754	0.343093	-40.900000
4.688255	-9.003593	0.354667	-39.100000
4.467269	-8.863662	0.360427	-38.200000
4.256700	-8.590387	0.371947	-37.300000
4.056056	-8.456907	0.377707	-36.400000
3.864869	-8.195948	0.389227	-35.500000
3.682695	-8.088434	0.394074	-34.600000
3.509107	-8.088434	0.394074	-33.000000
3.343702	-7.903183	0.402569	-30.800000
3.186093	-7.721801	0.411064	-30.800000
3.035913	-7.662172	0.413896	-29.300000
2.892812	-7.544128	0.419560	-26.700000
2.756456	-7.370018	0.428055	-25.500000
2.626528	-7.254803	0.433770	-25.300000
2.502724	-7.142133	0.439434	-24.100000
2.384755	-7.030906	0.445097	-23.000000
2.272347	-6.975823	0.447929	-22.900000
2.165238	-6.921086	0.450760	-20.900000
2.063177	-6.812636	0.456424	-19.900000
1.965927	-6.903457	0.451676	-18.200000
1.873261	-6.894747	0.452129	-18.100000
1.784963	-6.890567	0.452347	-17.300000
1.700827	-6.592721	0.468127	-16.800000
1.620657	-6.639725	0.465601	-14.700000
1.544265	-6.681491	0.463367	-15.300000
1.471475	-6.535484	0.471222	-13.400000
1.402115	-6.484301	0.474007	-13.900000
1.336025	-6.433418	0.476792	-12.100000
1.273050	-6.382831	0.479577	-11.500000
1.213044	-6.332537	0.482362	-12.000000
1.155865	-6.332537	0.482362	-10.500000
1.101383	-6.332537	0.482362	-9.100000
1.049468	-6.332537	0.482362	-8.700000
1.000000	-6.282533	0.485147	-9.100000
