I_B (A)	U_BE (V)	I_C (A)	U_CE (V)
0.000051	0.593132	-0.000031	-0.002252
0.000050	0.645732	0.001404	-0.059300
0.000050	0.667811	0.003115	-0.087727
0.000049	0.682357	0.004887	-0.110959
0.000049	0.693283	0.006652	-0.133719
0.000049	0.701595	0.008381	-0.160360
0.000049	0.707845	0.010004	-0.198641
0.000049	0.710670	0.011317	-0.267086
0.000049	0.711433	0.012379	-0.361002
0.000049	0.711790	0.013404	-0.458263
0.000049	0.712228	0.014415	-0.557375
0.000049	0.712423	0.015406	-0.657899
0.000049	0.712650	0.016374	-0.760663
0.000049	0.712764	0.017318	-0.866869
0.000049	0.712943	0.018221	-0.976322
0.000049	0.712991	0.019071	-1.092009
0.000049	0.712861	0.019834	-1.215570
0.000049	0.712764	0.020465	-1.353628
0.000049	0.712358	0.020922	-1.508294
0.000049	0.711920	0.021224	-1.678318
0.000049	0.711368	0.021425	-1.858992
0.000049	0.710751	0.021581	-2.043074
0.000049	0.710264	0.021713	-2.230502
0.000049	0.709582	0.021833	-2.418432
0.000049	0.708933	0.021948	-2.606590
0.000049	0.708251	0.022057	-2.796241
0.000049	0.707407	0.022164	-2.985276
0.000049	0.706692	0.022269	-3.175122
0.000049	0.705913	0.022375	-3.364027
0.000049	0.705134	0.022479	-3.554117
0.000049	0.704290	0.022586	-3.743362
0.000049	0.703413	0.022690	-3.932543
0.000049	0.702552	0.022796	-4.122357
0.000049	0.701676	0.022903	-4.311262
0.000049	0.700767	0.023010	-4.501157
0.000049	0.699711	0.023117	-4.690192
0.000049	0.698754	0.023225	-4.879567
0.000049	0.697731	0.023336	-5.068424
0.000049	0.696708	0.023442	-5.257232
0.000049	0.695637	0.023553	-5.447030
0.000049	0.694549	0.023667	-5.635237
0.000049	0.693494	0.023779	-5.824629
0.000049	0.692406	0.023891	-6.012739
0.000049	0.691269	0.024007	-6.201888
0.000049	0.689987	0.024121	-6.390193
0.000049	0.688818	0.024239	-6.578157
0.000049	0.687552	0.024359	-6.766153
0.000049	0.686334	0.024475	-6.954702
0.000049	0.685165	0.024595	-7.143169
0.000049	0.683785	0.024715	-7.330517
0.000049	0.682600	0.024837	-7.518027
