I_B (A)	U_BE (V)	I_C (A)	U_CE (V)
0.000010	0.539753	-0.000011	-0.000077
0.000008	0.625942	0.000969	-0.102371
0.000007	0.650180	0.002379	-0.160880
0.000007	0.656787	0.003263	-0.273028
0.000007	0.656950	0.003405	-0.458572
0.000007	0.656917	0.003425	-0.655934
0.000007	0.656722	0.003441	-0.854758
0.000007	0.656657	0.003456	-1.053225
0.000007	0.656609	0.003470	-1.252374
0.000007	0.656430	0.003482	-1.450580
0.000007	0.656365	0.003494	-1.649859
0.000007	0.656268	0.003506	-1.848472
0.000007	0.656138	0.003519	-2.046760
0.000007	0.656089	0.003529	-2.246298
0.000007	0.655943	0.003539	-2.444765
0.000007	0.655797	0.003550	-2.644433
0.000007	0.655781	0.003561	-2.842851
0.000007	0.655618	0.003571	-3.042632
0.000007	0.655440	0.003581	-3.241537
0.000007	0.655391	0.003591	-3.439891
0.000007	0.655148	0.003601	-3.639478
0.000007	0.654985	0.003611	-3.838009
0.000007	0.654758	0.003622	-4.037532
0.000007	0.654774	0.003632	-4.236096
0.000007	0.654498	0.003641	-4.434936
0.000007	0.654401	0.003651	-4.634085
0.000007	0.654255	0.003660	-4.832926
0.000007	0.653979	0.003671	-5.032481
0.000007	0.653881	0.003682	-5.231143
0.000007	0.653687	0.003691	-5.430568
0.000007	0.653492	0.003700	-5.629425
0.000007	0.653281	0.003711	-5.828055
0.000007	0.653118	0.003720	-6.027561
0.000007	0.653021	0.003731	-6.225964
0.000007	0.652842	0.003741	-6.425503
0.000007	0.652680	0.003752	-6.624182
0.000007	0.652372	0.003761	-6.823445
0.000007	0.652209	0.003771	-7.022319
0.000007	0.652031	0.003781	-7.220836
0.000007	0.651917	0.003793	-7.420310
0.000007	0.651511	0.003802	-7.618925
0.000007	0.651300	0.003813	-7.818416
0.000007	0.651122	0.003822	-8.017144
0.000007	0.650943	0.003832	-8.216636
0.000007	0.650667	0.003843	-8.415380
0.000007	0.650472	0.003852	-8.613817
0.000007	0.650164	0.003862	-8.813292
0.000007	0.650066	0.003875	-9.012119
0.000007	0.649807	0.003885	-9.211464
0.000007	0.649482	0.003895	-9.409950
0.000007	0.649384	0.003907	-9.608452
