I_B (A)	U_BE (V)	I_C (A)	U_CE (V)
0.000030	0.576427	-0.000024	-0.001473
0.000029	0.640212	0.001278	-0.071460
0.000028	0.663801	0.002945	-0.104546
0.000028	0.678753	0.004660	-0.133557
0.000028	0.688851	0.006308	-0.168072
0.000028	0.694338	0.007717	-0.226629
0.000028	0.695637	0.008758	-0.323014
0.000028	0.696059	0.009692	-0.429285
0.000028	0.696416	0.010580	-0.540702
0.000028	0.696627	0.011388	-0.659750
0.000028	0.696708	0.012043	-0.794691
0.000028	0.696529	0.012395	-0.959649
0.000028	0.696351	0.012528	-1.145891
0.000028	0.696107	0.012609	-1.338481
0.000028	0.695848	0.012674	-1.531558
0.000028	0.695361	0.012733	-1.726356
0.000028	0.694987	0.012789	-1.920261
0.000028	0.694614	0.012843	-2.115383
0.000028	0.694240	0.012897	-2.310132
0.000028	0.693770	0.012947	-2.504426
0.000028	0.693412	0.012998	-2.700101
0.000028	0.692893	0.013050	-2.894574
0.000028	0.692422	0.013099	-3.090378
0.000028	0.692032	0.013149	-3.284721
0.000028	0.691481	0.013199	-3.479519
0.000028	0.691042	0.013248	-3.674869
0.000028	0.690458	0.013298	-3.869748
0.000028	0.689954	0.013348	-4.065179
0.000028	0.689402	0.013399	-4.259685
0.000028	0.688834	0.013448	-4.455083
0.000028	0.688234	0.013498	-4.649849
0.000028	0.687600	0.013551	-4.844241
0.000028	0.687016	0.013602	-5.039867
0.000028	0.686399	0.013653	-5.234178
0.000028	0.685733	0.013704	-5.429561
0.000028	0.685068	0.013757	-5.624262
0.000028	0.684386	0.013809	-5.819418
0.000028	0.683850	0.013859	-6.013762
0.000028	0.683071	0.013914	-6.207911
0.000028	0.682340	0.013967	-6.403245
0.000028	0.681626	0.014023	-6.597086
0.000028	0.680944	0.014079	-6.792242
0.000028	0.680181	0.014133	-6.986229
0.000028	0.679418	0.014189	-7.181337
0.000028	0.678671	0.014245	-7.375097
0.000028	0.677844	0.014302	-7.569312
0.000028	0.676951	0.014358	-7.764014
0.000028	0.676188	0.014419	-7.957774
0.000028	0.675441	0.014475	-8.152346
0.000028	0.674483	0.014535	-8.346350
0.000028	0.673801	0.014593	-8.540063
