I_Baus (A)	U_BEaus (V)	I_Caus (A)	U_CEaus (V)
0.000113	0.706644	0.031327	1.667045
0.000113	0.707033	0.030408	1.559167
0.000113	0.707504	0.029478	1.452425
0.000113	0.707975	0.028535	1.346576
0.000113	0.708446	0.027583	1.242107
0.000113	0.708770	0.026615	1.138417
0.000113	0.709144	0.025641	1.036220
0.000113	0.709436	0.024657	0.934803
0.000113	0.709761	0.023658	0.833890
0.000113	0.709972	0.022660	0.734421
0.000113	0.710199	0.021644	0.635520
0.000113	0.710507	0.020627	0.537642
0.000113	0.710524	0.019599	0.440154
0.000113	0.710524	0.018556	0.344874
0.000113	0.709696	0.017371	0.262987
0.000113	0.706984	0.015869	0.211816
0.000113	0.702699	0.014184	0.180321
0.000113	0.697341	0.012413	0.156894
0.000113	0.691221	0.010611	0.137624
0.000113	0.683980	0.008782	0.120156
0.000113	0.675490	0.006955	0.103483
0.000114	0.665099	0.005133	0.086274
0.000114	0.651576	0.003318	0.067523
0.000114	0.632484	0.001559	0.043724
0.000115	0.595973	-0.000041	0.003267
