U_diff	U_CM	U_out
-3.600000	0.000000	7.930989
-5.000000	0.000000	7.928789
-4.800000	0.000000	7.929026
-3.700000	0.000000	7.930825
-3.600000	0.000000	7.930944
-1.700000	0.000000	7.964588
-0.200000	0.000000	0.938121
0.200000	0.000000	-0.942454
1.000000	0.000000	-4.706290
1.600000	0.000000	-6.592869
2.100000	0.000000	-6.635186
3.000000	0.000000	-6.659617
3.700000	0.000000	-6.659374
4.700000	0.000000	-6.658735
5.000000	0.000000	-6.658534
4.800000	0.000000	-6.658338
3.300000	0.000000	-6.659094
3.200000	0.000000	-6.659059
1.800000	0.000000	-6.616123
-0.100000	0.000000	0.468272
-1.300000	0.000000	6.115204
-2.900000	0.000000	7.931792
-3.300000	0.000000	7.931226
-3.500000	0.000000	7.930895
-3.300000	0.000000	7.931233
-2.900000	0.000000	7.931905
-1.400000	0.000000	6.585363
-0.700000	0.000000	3.291957
2.300000	0.000000	-6.640008
3.600000	0.000000	-6.658987
3.700000	0.000000	-6.658701
3.000000	0.000000	-6.659045
2.800000	0.000000	-6.659050
0.900000	0.000000	-4.234924
-2.300000	0.000000	7.938365
-4.600000	0.000000	7.928580
-5.000000	0.000000	7.928004
-4.700000	0.000000	7.928439
-2.600000	0.000000	7.932485
-2.200000	0.000000	7.941854
-0.800000	0.000000	3.761861
0.200000	0.000000	-0.942461
1.000000	0.000000	-4.706307
3.000000	0.000000	-6.658935
4.500000	0.000000	-6.658113
5.000000	0.000000	-6.657683
4.800000	0.000000	-6.657578
2.400000	0.000000	-6.640291
1.900000	0.000000	-6.623416
-0.700000	0.000000	3.291928
-2.000000	0.000000	7.950438
-2.100000	0.000000	7.945521
-2.700000	0.000000	7.931348
-2.600000	0.000000	7.932194
-2.500000	0.000000	7.933419
-2.400000	0.000000	7.935330
-2.300000	0.000000	7.937986
-2.100000	0.000000	7.945591
-2.200000	0.000000	7.940962
-2.600000	0.000000	7.931580
-2.700000	0.000000	7.931142
-3.000000	0.000000	7.930371
-5.000000	0.000000	7.926910
-4.900000	0.000000	7.926913
-3.200000	0.000000	7.929762
-2.900000	0.000000	7.930237
-2.200000	0.000000	7.940575
-1.000000	0.000000	4.704811
0.200000	0.000000	-0.942461
1.200000	0.000000	-5.647775
2.200000	0.000000	-6.636066
2.800000	0.000000	-6.657556
3.400000	0.000000	-6.656947
4.200000	0.000000	-6.656391
4.500000	0.000000	-6.656278
4.700000	0.000000	-6.656076
4.900000	0.000000	-6.655805
2.700000	0.000000	-6.656929
2.000000	0.000000	-6.627616
0.500000	0.000000	-2.353942
-1.400000	0.000000	6.585362
-3.400000	0.000000	7.929196
-4.700000	0.000000	7.927115
-5.000000	0.000000	7.926637
-4.600000	0.000000	7.927196
-2.400000	0.000000	7.934324
-1.800000	0.000000	7.958870
-0.400000	0.000000	1.881171
1.000000	0.000000	-4.706312
2.100000	0.000000	-6.632077
2.800000	0.000000	-6.656645
3.400000	0.000000	-6.656372
4.000000	0.000000	-6.655020
4.600000	0.000000	-6.654735
5.000000	0.000000	-6.655195
4.900000	0.000000	-6.655225
4.600000	0.000000	-6.655435
0.700000	0.000000	-3.293473
-1.100000	0.000000	5.173474
-2.000000	0.000000	7.949085
-2.900000	0.000000	7.929697
-3.900000	0.000000	7.928133
-5.000000	0.000000	7.926320
-4.900000	0.000000	7.926421
-3.600000	0.000000	7.928568
-2.700000	0.000000	7.930174
-1.300000	0.000000	6.115177
0.400000	0.000000	-1.882666
1.600000	0.000000	-6.589670
2.500000	0.000000	-6.653393
3.300000	0.000000	-6.655943
4.200000	0.000000	-6.655533
4.900000	0.000000	-6.655032
5.000000	0.000000	-6.654959
4.800000	0.000000	-6.654830
4.500000	0.000000	-6.655112
2.700000	0.000000	-6.656157
0.100000	0.000000	-0.471220
-3.000000	0.000000	7.929223
-5.000000	0.000000	7.925948
-4.100000	0.000000	7.927443
1.700000	0.000000	-6.602622
2.200000	0.000000	-6.634854
3.700000	0.000000	-6.655291
5.000000	0.000000	-6.654574
4.500000	0.000000	-6.654877
0.700000	0.000000	-3.293454
-0.300000	0.000000	1.409721
-2.800000	0.000000	7.929356
-5.000000	0.000000	7.925705
-4.700000	0.000000	7.926226
0.400000	0.000000	-1.882688
1.300000	0.000000	-6.116663
4.800000	0.000000	-6.654764
5.000000	0.000000	-6.654422
4.800000	0.000000	-6.654497
1.700000	0.000000	-6.602311
1.500000	0.000000	-6.567513
-0.100000	0.000000	0.468320
-3.200000	0.000000	7.928497
-4.900000	0.000000	7.925716
-5.000000	0.000000	7.925569
-3.000000	0.000000	7.928971
-1.800000	0.000000	7.957942
2.100000	0.000000	-6.630625
4.000000	0.000000	-6.654921
5.000000	0.000000	-6.654242
4.600000	0.000000	-6.654184
3.600000	0.000000	-6.654756
-2.600000	0.000000	7.929833
-5.000000	0.000000	7.925381
-4.600000	0.000000	7.926064
5.000000	0.000000	-6.653516
4.700000	0.000000	-6.653264
3.000000	0.000000	-6.654088
-3.000000	0.000000	7.928546
0.400000	0.000000	-1.882687
3.700000	0.000000	-6.653607
-3.000000	0.000000	7.928550
-2.100000	0.000000	7.943386
5.000000	0.000000	-6.652814
-4.400000	0.000000	7.926050
-3.800000	0.000000	7.927197
3.200000	0.000000	-6.654082
-5.000000	0.000000	7.925041
-2.800000	0.000000	7.928897
5.000000	0.000000	-6.653155
-5.000000	0.000000	7.924958
2.900000	0.000000	-6.654129
5.000000	0.000000	-6.652795
0.500000	0.000000	-2.353948
5.000000	0.000000	-6.652704
3.600000	0.000000	-6.653522
1.000000	0.000000	-4.706296
4.800000	0.000000	-6.652732
-5.000000	0.000000	7.924748
-3.500000	0.000000	7.927452
5.000000	0.000000	-6.653012
-5.000000	0.000000	7.924814
5.000000	0.000000	-6.653666
-5.000000	0.000000	7.924652
5.000000	0.000000	-6.653708
2.600000	0.000000	-6.654703
-3.800000	0.000000	7.926665
-2.200000	0.000000	7.938774
5.000000	0.000000	-6.653752
-5.000000	0.000000	7.924648
1.100000	0.000000	-5.176395
2.700000	0.000000	-6.654834
-5.000000	0.000000	7.924565
4.700000	0.000000	-6.653906
5.000000	0.000000	-6.653438
4.800000	0.000000	-6.653219
2.500000	0.000000	-6.651774
1.300000	0.000000	-6.116696
0.400000	0.000000	-1.882637
-0.400000	0.000000	1.881261
-1.000000	0.000000	4.704849
-1.600000	0.000000	7.526684
-2.300000	0.000000	7.932065
-2.700000	0.000000	7.927951
-3.200000	0.000000	7.926935
-4.100000	0.000000	7.925218
-4.500000	0.000000	7.924478
-5.000000	0.000000	7.923601
-4.900000	0.000000	7.923419
-4.300000	0.000000	7.924387
-3.900000	0.000000	7.925045
-2.800000	0.000000	7.926943
-0.800000	0.000000	3.761879
-0.000000	0.000000	-0.001970
0.700000	0.000000	-3.293432
1.200000	0.000000	-5.647774
1.800000	0.000000	-6.611157
2.300000	0.000000	-6.635000
2.600000	0.000000	-6.654152
3.000000	0.000000	-6.653890
3.300000	0.000000	-6.653836
3.600000	0.000000	-6.653515
3.900000	0.000000	-6.653252
4.500000	0.000000	-6.652534
4.800000	0.000000	-6.652652
5.000000	0.000000	-6.652462
4.900000	0.000000	-6.652435
3.600000	0.000000	-6.653193
3.500000	0.000000	-6.653316
3.400000	0.000000	-6.653404
3.200000	0.000000	-6.653109
2.600000	0.000000	-6.653590
1.800000	0.000000	-6.610700
1.300000	0.000000	-6.116638
1.200000	0.000000	-5.647753
1.000000	0.000000	-4.706280
0.700000	0.000000	-3.293431
0.500000	0.000000	-2.353941
0.600000	0.000000	-2.824126
0.700000	0.000000	-3.293447
0.800000	0.000000	-3.764782
1.000000	0.000000	-4.706269
1.100000	0.000000	-5.176450
1.200000	0.000000	-5.647788
1.400000	0.000000	-6.511617
1.500000	0.000000	-6.565581
1.800000	0.000000	-6.610343
1.900000	0.000000	-6.618097
2.300000	0.000000	-6.634100
2.600000	0.000000	-6.653420
2.800000	0.000000	-6.653368
3.300000	0.000000	-6.653114
3.600000	0.000000	-6.652657
3.800000	0.000000	-6.652597
4.200000	0.000000	-6.652339
4.600000	0.000000	-6.652234
4.800000	0.000000	-6.652090
5.000000	0.000000	-6.651868
4.900000	0.000000	-6.651959
4.700000	0.000000	-6.651976
4.500000	0.000000	-6.651325
4.300000	0.000000	-6.652238
4.100000	0.000000	-6.652429
4.000000	0.000000	-6.652514
3.700000	0.000000	-6.652613
3.300000	0.000000	-6.652868
2.900000	0.000000	-6.653123
2.400000	0.000000	-6.634524
2.100000	0.000000	-6.628380
1.900000	0.000000	-6.617915
1.500000	0.000000	-6.565297
1.100000	0.000000	-5.176416
0.800000	0.000000	-3.764794
0.400000	0.000000	-1.882676
0.100000	0.000000	-0.471198
-0.200000	0.000000	0.938147
-0.500000	0.000000	2.351044
-0.800000	0.000000	3.761891
-1.100000	0.000000	5.173519
-1.200000	0.000000	5.644897
-1.300000	0.000000	6.115235
-1.400000	0.000000	6.585404
-1.500000	0.000000	7.055195
-1.600000	0.000000	7.526699
-1.700000	0.000000	7.958764
-2.000000	0.000000	7.945416
-2.100000	0.000000	7.940793
-2.200000	0.000000	7.936676
-2.400000	0.000000	7.930584
-2.600000	0.000000	7.927464
-2.800000	0.000000	7.926694
-3.100000	0.000000	7.926144
-3.300000	0.000000	7.925760
-3.700000	0.000000	7.925016
-4.000000	0.000000	7.924452
-4.500000	0.000000	7.923556
-4.900000	0.000000	7.922831
-5.000000	0.000000	7.922608
-4.900000	0.000000	7.922385
-4.300000	0.000000	7.923327
-4.000000	0.000000	7.923788
-3.400000	0.000000	7.924775
-3.300000	0.000000	7.924897
-3.000000	0.000000	7.925370
-2.700000	0.000000	7.925930
-2.600000	0.000000	7.926464
-2.300000	0.000000	7.932344
-2.000000	0.000000	7.944663
-1.800000	0.000000	7.953885
-1.500000	0.000000	7.055169
-1.100000	0.000000	5.173494
-0.600000	0.000000	2.822592
-0.100000	0.000000	0.468309
0.200000	0.000000	-0.942462
0.300000	0.000000	-1.411184
0.600000	0.000000	-2.824138
0.800000	0.000000	-3.764832
0.900000	0.000000	-4.234936
1.100000	0.000000	-5.176471
1.300000	0.000000	-6.116717
1.500000	0.000000	-6.562626
1.600000	0.000000	-6.583934
1.800000	0.000000	-6.607632
2.100000	0.000000	-6.625899
2.300000	0.000000	-6.631989
2.400000	0.000000	-6.632890
2.600000	0.000000	-6.651409
2.700000	0.000000	-6.651377
2.800000	0.000000	-6.651211
3.100000	0.000000	-6.650945
3.500000	0.000000	-6.650734
4.000000	0.000000	-6.650621
4.200000	0.000000	-6.650451
4.500000	0.000000	-6.650108
4.800000	0.000000	-6.649883
5.000000	0.000000	-6.649621
